timestamp	player	primary	rtt	rtt_max	gap	jitter	cmd_resp	cmd_upload	server_queue	commands	burst	frame_gap	frame_work	renderer	server_tick	server_lag	slow_count	payload_p95	over_budget	pred_mode	pred_ticks
2026-06-30T00:31:26.540564Z	7	command_upload_delay	281	362	655	32	859	859	63	12	2	33	13	13	9	0	18	6144	10000	resyncing	6
2026-06-30T00:31:35.352895Z	9	packet_budget_pressure	21	76	237	47	117	108	56	7	4	25	12	10	8	0	18	8192	10000	disabled	0
2026-06-30T00:31:36.566636Z	7	prediction_correction	48	108	79	31	110	80	45	8	2	33	14	12	7	0	18	6144	10000	predicting	1
2026-06-30T00:31:45.354154Z	9	packet_budget_pressure	27	38	283	33	128	108	44	7	2	25	12	10	8	0	18	8192	10000	disabled	0
2026-06-30T00:31:46.566129Z	7	prediction_correction	49	62	389	32	92	47	60	2	1	33	10	8	6	0	18	6144	10000	resyncing	1
2026-06-30T00:31:55.358125Z	9	command_upload_delay	370	370	330	43	369	359	92	9	2	18	11	9	7	1	18	8192	10000	disabled	0
2026-06-30T00:31:56.581961Z	7	prediction_correction	161	161	234	18	64	62	30	2	1	33	15	13	7	0	18	6144	10000	resyncing	1
2026-06-30T00:32:05.352847Z	9	packet_budget_pressure	34	83	106	73	95	57	56	19	2	18	11	10	8	1	18	8192	10000	disabled	0
2026-06-30T00:32:06.640858Z	7	command_upload_delay	33	560	642	32	574	517	528	21	2	33	11	9	7	1	18	8192	10000	resyncing	2
2026-06-30T00:32:15.358919Z	9	packet_budget_pressure	48	48	275	33	137	127	38	10	2	25	13	12	8	0	18	8192	10000	disabled	0
2026-06-30T00:32:17.064216Z	7	command_upload_delay	63	130	314	281	237	234	46	17	2	50	10	9	7	0	18	8192	10000	resyncing	2
2026-06-30T00:32:25.353671Z	9	command_server_queue	438	438	376	108	130	39	104	11	2	25	16	13	10	0	18	8192	10000	disabled	0
2026-06-30T00:32:26.666015Z	7	prediction_correction	343	343	529	32	92	63	30	4	2	33	12	11	8	0	18	8192	10000	resyncing	1
2026-06-30T00:32:35.353188Z	9	command_upload_delay	43	52	303	9	306	295	89	15	2	25	15	14	8	1	19	8192	10000	disabled	0
2026-06-30T00:32:36.678949Z	7	command_upload_delay	62	134	217	32	189	189	63	18	2	50	11	10	7	0	19	6144	10000	resyncing	2
